Case Type,Status,Request Received (Year),Request Received (Month),Request Closed (Year),Request Closed (Month),Case Active Days at Closure,Case Active Days (grouped),Closed on Time?,Reason (grouped),Number of Records
FOIA Case,Closed,2021,April,2021,May,12,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,February,2021,February,8,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,May,2023 to June,May,4,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,May,2023 to June,June,15,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,January,2021,January,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,December,2023 to June,March,55,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,June,2021,July,19,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,February,2022,March,8,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,June,2022,September,59,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,November,2022,November,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,September,2021,September,12,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,August,2022,September,27,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,February,2021,September,152,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,April,2020,April,10,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,May,2021,June,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,February,2022,March,11,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,January,2022,February,11,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,January,2022,February,16,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,March,2023 to June,March,11,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,May,2022,June,21,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,October,2023 to June,January,65,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,January,2022,February,14,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,June,2022,July,18,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,July,2022,September,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,September,2022,December,21,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,August,2020,September,18,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,October,2022,October,11,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,January,2022,February,13,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,January,2022,February,19,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,November,2019,December,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,June,2022,July,22,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,June,2021,July,6,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,March,2023 to June,March,7,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,March,2023 to June,April,16,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,February,26,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,August,2020,September,17,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,May,2020,June,19,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,June,2020,June,17,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,July,2021,August,26,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,July,2022,September,26,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,October,2022,November,30,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,June,2022,August,22,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,May,2020,June,5,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,March,2021,April,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,June,2022,June,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,August,2021,September,11,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,January,2022,February,17,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,March,2020,April,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,June,2020,August,36,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,December,2022,January,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,May,2022,June,18,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,February,2022,March,13,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,February,24,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,March,2021,April,29,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,July,2020,September,33,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,June,2022,September,63,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,June,2020,August,24,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,March,2021,April,17,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,September,2019,September,6,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,August,2020,September,14,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,August,2020,September,13,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,September,2019,October,8,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,March,2023 to June,April,14,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,January,2020,January,4,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,June,2020,July,22,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,April,2021,May,8,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,March,2021,April,27,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,January,2021,April,46,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,February,2021,April,45,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,February,2023 to June,March,30,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,September,2021,September,8,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,April,2022,May,22,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,August,2021,January,106,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,November,2019,December,12,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,September,2020,January,87,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,February,2021,May,60,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,February,5,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,June,2023 to June,June,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,May,2020,July,59,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,May,2021,June,19,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,September,2020,November,41,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,April,59,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,August,2020,September,16,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,September,2019,September,5,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,November,2019,December,36,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,December,2023 to June,January,14,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,February,15,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,February,2022,March,17,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,August,2019,September,11,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,January,2022,February,25,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,February,2020,February,7,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,May,2020,June,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,September,2021,October,14,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,October,2021,November,38,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,September,2019,October,4,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,June,2020,June,14,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,May,2020,June,23,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,April,2021,June,43,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,May,2020,June,21,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,June,2020,July,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,November,2019,November,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,November,2021,November,5,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,September,2019,October,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,October,2021,November,15,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,June,2020,June,6,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,January,2021,January,15,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,March,2021,March,7,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,July,2020,July,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,May,2020,June,22,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,June,2021,August,28,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,June,2021,July,11,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,July,2020,July,12,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,January,2020,February,13,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,April,2021,May,27,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,December,2021,April,95,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,December,2022,January,11,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,November,2020,December,18,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,July,2022,August,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,April,2023 to June,May,19,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,June,2020,June,3,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,June,2020,September,69,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,November,2019,November,8,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,March,40,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,January,2022,April,64,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,March,2022,April,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,November,2022,December,23,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,June,2022,July,11,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,September,2019,October,3,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,April,2021,May,7,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,October,2022,February,82,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,March,2022,April,13,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,February,2022,April,40,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,October,2021,November,7,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,July,2021,September,45,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,January,2022,February,28,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,December,2022,May,94,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,April,2023 to June,June,28,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,March,2023 to June,June,29,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,December,2021,January,22,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,December,2020,February,39,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,December,2023 to June,February,56,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,May,2021,June,14,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,July,2020,September,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,October,2022,November,7,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,February,2023 to June,April,40,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,August,2020,September,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,October,2022,October,10,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,March,24,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,May,2022,June,31,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,November,2021,December,36,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,August,2022,November,69,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,April,2022,May,6,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,August,2022,August,11,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,February,2022,March,24,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,March,2023 to June,April,33,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,May,89,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,August,2020,September,10,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,April,2020,May,19,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,September,2022,June,207,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,March,2023 to June,June,54,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,April,2022,July,53,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,April,2022,June,31,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,November,2023 to June,March,79,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,March,2022,May,22,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,December,2021,February,34,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,November,2021,January,33,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,November,2019,November,13,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,March,2021,April,30,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,January,2021,March,31,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,October,2021,November,24,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,February,2021,March,26,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,May,2022,June,22,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,November,2020,January,39,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,January,2022,February,31,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,June,2021,August,45,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,February,23,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,October,2019,November,36,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,August,2020,October,37,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,August,2021,October,59,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,April,2023 to June,May,11,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,April,2023 to June,May,13,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,October,2022,November,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,November,2023 to June,January,32,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,March,41,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,April,68,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,May,2022,July,39,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,October,2020,January,70,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,July,2022,September,53,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,March,2022,May,38,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,March,2023 to June,May,29,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,June,2021,September,55,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,June,2020,September,64,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,December,2020,February,42,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,January,2022,February,27,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,November,2023 to June,January,44,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,May,2021,August,63,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,August,2019,November,70,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,February,2022,April,44,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,March,2023 to June,June,63,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,November,2020,January,34,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,December,2022,January,32,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,February,25,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,February,2022,May,54,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,April,2020,May,18,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,June,2022,July,27,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,July,2019,August,6,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,April,2021,July,65,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,March,2022,May,41,Up to 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,June,2021,November,97,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,July,2022,August,5,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,February,2023 to June,June,71,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,February,2022,June,70,More than 60 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,April,2022,June,22,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,May,2022,May,5,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,August,2020,September,15,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,April,2020,June,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,November,2020,February,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,February,2020,March,16,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2019,November,2020,January,27,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,July,2020,August,40,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,February,2022,February,13,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,February,2022,February,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,June,2021,June,13,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,May,2021,June,6,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,June,2021,July,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,March,2021,April,14,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,May,2023 to June,June,18,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,October,2021,November,18,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,June,2021,July,26,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,March,2022,April,8,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,May,2023 to June,May,6,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,June,2022,July,7,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,October,2021,November,8,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,October,2022,October,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,June,2023 to June,June,8,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,March,2023 to June,March,15,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,March,2023 to June,April,6,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,October,2022,November,10,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,June,2021,July,10,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,September,2021,October,5,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,February,2022,March,12,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,February,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,February,2023 to June,March,15,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,January,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,June,2020,July,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,November,2022,December,4,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,November,2020,December,15,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,January,2022,February,12,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,April,2021,May,18,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,July,2021,August,18,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,February,2021,March,20,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,April,2021,May,15,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,October,2020,November,24,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,March,30,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,February,2022,March,10,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,September,2021,October,22,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2021,April,2021,May,11,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,November,2020,December,13,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,January,2022,February,18,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,September,2020,October,11,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,March,2023 to June,March,9,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,December,2021,January,13,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,October,2020,November,22,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,January,2022,February,26,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,May,2023 to June,July,27,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,August,2022,October,29,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2020,December,2020,December,10,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,March,31,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2022,November,2022,December,14,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2023 to June,January,2023 to June,March,39,Up to 40 days used,late,Refused: Full or Partial NCND,1
